20.20.20.20;2022-12-05 10:15:18,162;2;100
20.20.20.20;2022-12-05 10:15:20,163;3;87,50775146484375
20.20.20.20;2022-12-05 10:15:22,178;4;74,98606872558594
20.20.20.20;2022-12-05 10:15:24,194;5;75
20.20.20.20;2022-12-05 10:15:26,202;6;75,00287628173828
20.20.20.20;2022-12-05 10:15:28,214;7;75,00176239013672
20.20.20.20;2022-12-05 10:15:30,221;8;100
20.20.20.20;2022-12-05 10:15:32,230;9;87,50007629394531
20.20.20.20;2022-12-05 10:15:34,237;10;100
20.20.20.20;2022-12-05 10:15:36,237;11;75,0014419555664
20.20.20.20;2022-12-05 10:15:38,248;12;100
20.20.20.20;2022-12-05 10:15:40,256;13;74,9974365234375
20.20.20.20;2022-12-05 10:15:42,272;14;74,99711608886719
20.20.20.20;2022-12-05 10:15:44,272;15;100
20.20.20.20;2022-12-05 10:15:46,287;16;100
20.20.20.20;2022-12-05 10:15:48,306;17;75,00271606445312
20.20.20.20;2022-12-05 10:15:50,315;18;75,00064086914062
20.20.20.20;2022-12-05 10:15:52,321;19;62,49816131591797
20.20.20.20;2022-12-05 10:15:54,324;20;62,49359893798828
20.20.20.20;2022-12-05 10:15:56,326;21;62,50407791137695
